ID	THREAD_ID	STACK_NUM	METHOD_ID	METHOD_NAME
934716	60	0	41876	org/jboss/netty/channel/socket/nio/AbstractNioWorker:process:124
934717	60	1	41892	org/jboss/netty/channel/socket/nio/NioWorker:read:97
934743	60	2	42160	org/jboss/netty/channel/Channels:fireMessageReceived:256
934744	60	3	42161	org/jboss/netty/channel/Channels:fireMessageReceived:270
934750	60	4	42264	org/jboss/netty/channel/DefaultChannelPipeline:sendUpstream:560
934753	60	5	42265	org/jboss/netty/channel/DefaultChannelPipeline:sendUpstream:568
934755	60	6	33256	org/elasticsearch/common/netty/OpenChannelsHandler:handleUpstream:76
934756	60	7	42399	org/jboss/netty/channel/DefaultChannelPipeline$DefaultChannelHandlerContext:sendUpstream:793
934760	60	8	42265	org/jboss/netty/channel/DefaultChannelPipeline:sendUpstream:568
934762	60	9	42346	org/jboss/netty/channel/SimpleChannelUpstreamHandler:handleUpstream:116
934763	60	10	51444	org/jboss/netty/handler/codec/replay/ReplayingDecoder:messageReceived:490
934771	60	11	51445	org/jboss/netty/handler/codec/replay/ReplayingDecoder:callDecode:538
936148	60	12	42747	org/jboss/netty/handler/codec/frame/FrameDecoder:unfoldAndFireMessageReceived:464
936149	60	13	42163	org/jboss/netty/channel/Channels:fireMessageReceived:298
936154	60	14	42399	org/jboss/netty/channel/DefaultChannelPipeline$DefaultChannelHandlerContext:sendUpstream:793
936158	60	15	42265	org/jboss/netty/channel/DefaultChannelPipeline:sendUpstream:568
936160	60	16	42346	org/jboss/netty/channel/SimpleChannelUpstreamHandler:handleUpstream:116
936161	60	17	51604	org/jboss/netty/handler/codec/http/HttpContentDecoder:messageReceived:140
936211	60	18	42399	org/jboss/netty/channel/DefaultChannelPipeline$DefaultChannelHandlerContext:sendUpstream:793
936215	60	19	42265	org/jboss/netty/channel/DefaultChannelPipeline:sendUpstream:568
936217	60	20	42346	org/jboss/netty/channel/SimpleChannelUpstreamHandler:handleUpstream:116
936218	60	21	51617	org/jboss/netty/handler/codec/http/HttpChunkAggregator:messageReceived:200
936263	60	22	42399	org/jboss/netty/channel/DefaultChannelPipeline$DefaultChannelHandlerContext:sendUpstream:793
936268	60	23	42265	org/jboss/netty/channel/DefaultChannelPipeline:sendUpstream:568
936270	60	24	51656	org/jboss/netty/channel/SimpleChannelHandler:handleUpstream:134
936271	60	25	51653	org/elasticsearch/http/netty/pipelining/HttpPipeliningHandler:messageReceived:64
936277	60	26	42399	org/jboss/netty/channel/DefaultChannelPipeline$DefaultChannelHandlerContext:sendUpstream:793
936281	60	27	42265	org/jboss/netty/channel/DefaultChannelPipeline:sendUpstream:568
936283	60	28	42346	org/jboss/netty/channel/SimpleChannelUpstreamHandler:handleUpstream:116
936284	60	29	43753	org/elasticsearch/http/netty/HttpRequestHandler:messageReceived:63
936397	60	30	13887	org/elasticsearch/http/netty/NettyHttpServerTransport:dispatchRequest:452
936398	60	31	39495	org/elasticsearch/http/HttpServer$Dispatcher:dispatchRequest:102
936399	60	32	20879	org/elasticsearch/http/HttpServer:internalDispatchRequest:157
936480	60	33	20478	org/elasticsearch/rest/RestController:dispatchRequest:163
936484	60	34	20481	org/elasticsearch/rest/RestController:executeHandler:207
936543	60	35	17304	org/elasticsearch/rest/BaseRestHandler:handleRequest:55
936816	60	36	20659	org/elasticsearch/rest/action/search/RestSearchAction:handleRequest:86
937207	60	37	19653	org/elasticsearch/client/support/AbstractClient:search:583
937208	60	38	19615	org/elasticsearch/client/support/AbstractClient:execute:360
937219	60	39	51800	org/elasticsearch/rest/BaseRestHandler$HeadersAndContextCopyClient:doExecute:89
937261	60	40	19606	org/elasticsearch/client/FilterClient:doExecute:53
937263	60	41	19615	org/elasticsearch/client/support/AbstractClient:execute:360
937274	60	42	25920	org/elasticsearch/client/node/NodeClient:doExecute:59
937282	60	43	17390	org/elasticsearch/action/support/TransportAction:execute:99
937297	60	44	17392	org/elasticsearch/action/support/TransportAction:execute:146
937299	60	45	17393	org/elasticsearch/action/support/TransportAction:doExecute:150
937300	60	46	23808	org/elasticsearch/action/search/TransportSearchAction:doExecute:47
937301	60	47	23807	org/elasticsearch/action/search/TransportSearchAction:doExecute:116
937824	60	48	31267	org/elasticsearch/action/search/AbstractSearchAsyncAction:start:132
937827	60	49	31268	org/elasticsearch/action/search/AbstractSearchAsyncAction:performFirstPhase:157
937872	60	50	51921	org/elasticsearch/action/search/TransportSearchHelper:internalSearchRequest:45
937873	60	51	30872	org/elasticsearch/search/internal/ShardSearchTransportRequest:<init>:56
937960	60	52	51928	org/elasticsearch/search/internal/ShardSearchLocalRequest:<init>:91
