STACK_NUM	METHOD_NAME
0	org/elasticsearch/common/util/concurrent/AbstractRunnable:run:43
1	org/elasticsearch/transport/TransportService$4:doRun:377
2	org/elasticsearch/transport/RequestHandlerRegistry:processMessageReceived:85
3	org/elasticsearch/transport/TransportService$DirectResponseChannel:getChannelType:885
3	org/elasticsearch/tasks/TaskManager:register:97
4	org/elasticsearch/transport/TransportRequest:createTask:54
5	org/elasticsearch/transport/TransportRequest:getDescription:61
5	org/elasticsearch/tasks/Task:<init>:49
6	org/elasticsearch/tasks/Task:<init>:53
7	org/elasticsearch/tasks/Task:<init>:63
4	org/elasticsearch/common/logging/log4j/Log4jESLogger:isTraceEnabled:75
5	org/apache/log4j/Logger:isTraceEnabled:209
6	org/apache/log4j/Hierarchy:isDisabled:356
6	org/apache/log4j/Category:getEffectiveLevel:446
6	org/apache/log4j/Priority:isGreaterOrEqual:123
4	org/elasticsearch/tasks/Task:getId:90
4	org/elasticsearch/common/util/concurrent/ConcurrentHashMapLong:put:50
3	org/elasticsearch/transport/RequestHandlerRegistry$TransportChannelWrapper:<init>:135
4	org/elasticsearch/transport/DelegatingTransportChannel:<init>:34
3	org/elasticsearch/transport/TransportRequestHandler:messageReceived:34
4	org/elasticsearch/search/action/SearchServiceTransportAction$SearchQueryTransportHandler:messageReceived:365
5	org/elasticsearch/search/action/SearchServiceTransportAction$SearchQueryTransportHandler:messageReceived:370
6	org/elasticsearch/search/action/SearchServiceTransportAction:access$100:53
6	org/elasticsearch/search/SearchService:executeQueryPhase:405
7	org/elasticsearch/search/SearchService:createAndPutContext:645
8	org/elasticsearch/search/SearchService:createContext:703
9	org/elasticsearch/search/internal/ShardSearchTransportRequest:index:76
10	org/elasticsearch/search/internal/ShardSearchLocalRequest:index:116
9	org/elasticsearch/indices/IndicesService:indexServiceSafe:312
10	org/elasticsearch/indices/IndicesService:indexService:300
11	com/google/common/collect/RegularImmutableMap:get:171
12	com/google/common/collect/Hashing:smear:47
12	com/google/common/collect/ImmutableEntry:getKey:40
12	com/google/common/collect/ImmutableEntry:getValue:44
11	org/elasticsearch/indices/IndicesService$IndexServiceInjectorPair:getIndexService:134
9	org/elasticsearch/search/internal/ShardSearchTransportRequest:shardId:81
10	org/elasticsearch/search/internal/ShardSearchLocalRequest:shardId:121
9	org/elasticsearch/index/IndexService:shardSafe:199
10	org/elasticsearch/index/IndexService:shard:188
11	com/google/common/collect/RegularImmutableMap:get:171
12	com/google/common/collect/Hashing:smear:47
12	com/google/common/collect/ImmutableEntry:getKey:40
12	com/google/common/collect/ImmutableEntry:getValue:44
11	org/elasticsearch/index/IndexService$IndexShardInjectorPair:getIndexShard:117
9	org/elasticsearch/cluster/service/InternalClusterService:localNode:226
10	org/elasticsearch/cluster/ClusterState:getNodes:215
11	org/elasticsearch/cluster/ClusterState:nodes:211
10	org/elasticsearch/cluster/node/DiscoveryNodes:localNode:240
11	org/elasticsearch/common/collect/ImmutableOpenMap:get:56
12	com/carrotsearch/hppc/ObjectObjectHashMap:get:390
13	com/carrotsearch/hppc/ObjectObjectHashMap:hashKey:1048
14	com/carrotsearch/hppc/BitMixer:mix:33
15	com/carrotsearch/hppc/BitMixer:mix32:41
13	com/carrotsearch/hppc/ObjectObjectHashMap:equals:1190
9	org/elasticsearch/cluster/node/DiscoveryNode:id:210
9	org/elasticsearch/search/internal/ShardSearchTransportRequest:index:76
10	org/elasticsearch/search/internal/ShardSearchLocalRequest:index:116
9	org/elasticsearch/search/internal/ShardSearchTransportRequest:shardId:81
10	org/elasticsearch/search/internal/ShardSearchLocalRequest:shardId:121
9	org/elasticsearch/search/SearchShardTarget:<init>:48
10	org/elasticsearch/common/text/Text:<init>:54
10	org/elasticsearch/common/text/Text:<init>:54
9	org/elasticsearch/index/shard/IndexShard:acquireSearcher:849
10	org/elasticsearch/index/shard/IndexShard:readAllowed:1037
10	org/elasticsearch/index/shard/IndexShard:engine:1460
11	org/elasticsearch/index/shard/IndexShard:engineUnsafe:1468
10	org/elasticsearch/index/engine/Engine:acquireSearcher:287
11	org/elasticsearch/index/engine/Engine:acquireSearcher:319
12	org/elasticsearch/index/store/Store:incRef:317
13	org/elasticsearch/common/util/concurrent/AbstractRefCounted:incRef:43
14	org/elasticsearch/common/util/concurrent/AbstractRefCounted:tryIncRef:56
12	org/elasticsearch/index/engine/InternalEngine:getSearcherManager:1015
12	org/apache/lucene/search/ReferenceManager:acquire:114
13	org/apache/lucene/search/SearcherManager:tryIncRef:58
14	org/apache/lucene/search/SearcherManager:tryIncRef:164
15	org/apache/lucene/search/IndexSearcher:getIndexReader:320
15	org/apache/lucene/index/IndexReader:tryIncRef:228
12	org/elasticsearch/index/engine/Engine:newSearcher:151
13	org/elasticsearch/index/engine/EngineSearcher:<init>:46
14	org/elasticsearch/index/engine/Engine$Searcher:<init>:608
12	org/elasticsearch/index/engine/Engine:config:155
12	org/elasticsearch/index/engine/EngineConfig:getWrappingService:400
12	org/elasticsearch/index/engine/IndexSearcherWrappingService:wrap:103
13	org/elasticsearch/index/engine/Engine$Searcher:getDirectoryReader:625
14	org/elasticsearch/index/engine/Engine$Searcher:reader:618
15	org/apache/lucene/search/IndexSearcher:getIndexReader:320
14	org/elasticsearch/index/engine/Engine$Searcher:reader:618
15	org/apache/lucene/search/IndexSearcher:getIndexReader:320
13	org/elasticsearch/common/lucene/index/ElasticsearchDirectoryReader:getElasticsearchDirectoryReader:109
9	org/elasticsearch/threadpool/ThreadPool:estimatedTimeInMillisCounter:279
9	org/elasticsearch/search/internal/DefaultSearchContext:<init>:189
10	org/elasticsearch/search/internal/SearchContext:<init>:114
11	org/elasticsearch/common/DelegatingHasContextAndHeaders:<init>:34
10	org/elasticsearch/search/internal/ShardSearchTransportRequest:searchType:111
11	org/elasticsearch/search/internal/ShardSearchLocalRequest:searchType:151
10	org/elasticsearch/common/util/BigArrays:withCircuitBreaking:420
10	org/elasticsearch/search/dfs/DfsSearchResult:<init>:60
11	org/elasticsearch/transport/TransportResponse:<init>:40
12	org/elasticsearch/transport/TransportMessage:<init>:39
13	org/elasticsearch/common/ContextAndHeaderHolder:<init>:34
11	org/elasticsearch/common/collect/HppcMaps:newNoNullKeysMap:58
12	org/elasticsearch/common/collect/HppcMaps:ensureNoNullKeys:80
13	org/elasticsearch/common/collect/HppcMaps$1:<init>:80
14	com/carrotsearch/hppc/ObjectObjectHashMap:<init>:110
15	com/carrotsearch/hppc/ObjectObjectHashMap:<init>:124
16	com/carrotsearch/hppc/HashOrderMixing:defaultStrategy:161
17	com/carrotsearch/hppc/HashOrderMixing$Strategy$1:call:20
18	com/carrotsearch/hppc/HashOrderMixing$Strategy$1:call:23
19	com/carrotsearch/hppc/HashOrderMixing:randomized:62
16	com/carrotsearch/hppc/ObjectObjectHashMap:<init>:143
17	com/carrotsearch/hppc/ObjectObjectHashMap:verifyLoadFactor:1057
18	com/carrotsearch/hppc/HashContainers:checkLoadFactor:92
17	com/carrotsearch/hppc/ObjectObjectHashMap:ensureCapacity:634
18	com/carrotsearch/hppc/HashContainers:minBufferSize:59
19	com/carrotsearch/hppc/BitUtil:nextHighestPowerOfTwo:110
18	com/carrotsearch/hppc/ObjectObjectHashMap:allocateBuffers:1119
19	com/carrotsearch/hppc/RandomizedHashOrderMixer:newKeyMixer:24
20	com/carrotsearch/hppc/BitMixer:mix64:56
19	com/carrotsearch/hppc/HashContainers:expandAtCount:80
10	org/elasticsearch/search/query/QuerySearchResult:<init>:68
11	org/elasticsearch/search/query/QuerySearchResultProvider:<init>:28
12	org/elasticsearch/transport/TransportResponse:<init>:40
13	org/elasticsearch/transport/TransportMessage:<init>:39
14	org/elasticsearch/common/ContextAndHeaderHolder:<init>:34
10	org/elasticsearch/search/fetch/FetchSearchResult:<init>:50
11	org/elasticsearch/transport/TransportResponse:<init>:40
12	org/elasticsearch/transport/TransportMessage:<init>:39
13	org/elasticsearch/common/ContextAndHeaderHolder:<init>:34
10	org/elasticsearch/index/IndexService:cache:215
10	org/elasticsearch/index/cache/IndexCache:query:49
10	org/elasticsearch/index/shard/IndexShard:getQueryCachingPolicy:366
11	org/elasticsearch/index/engine/EngineConfig:getQueryCachingPolicy:396
10	org/elasticsearch/search/internal/ContextIndexSearcher:<init>:60
11	org/elasticsearch/index/engine/Engine$Searcher:reader:618
12	org/apache/lucene/search/IndexSearcher:getIndexReader:320
11	org/apache/lucene/search/IndexSearcher:<init>:205
12	org/apache/lucene/search/IndexSearcher:<init>:220
13	org/apache/lucene/index/CompositeReader:getContext:55
14	org/apache/lucene/index/CompositeReader:getContext:107
15	org/apache/lucene/index/IndexReader:ensureOpen:281
13	org/apache/lucene/search/IndexSearcher:<init>:245
14	org/apache/lucene/index/CompositeReaderContext:reader:28
15	org/apache/lucene/index/CompositeReaderContext:reader:78
14	org/apache/lucene/index/CompositeReaderContext:leaves:67
11	org/elasticsearch/index/engine/Engine$Searcher:searcher:629
11	org/elasticsearch/index/engine/Engine$Searcher:searcher:629
11	org/apache/lucene/search/IndexSearcher:getSimilarity:362
11	org/apache/lucene/search/IndexSearcher:setSimilarity:352
11	org/apache/lucene/search/IndexSearcher:setQueryCache:270
11	org/apache/lucene/search/IndexSearcher:setQueryCachingPolicy:292
10	org/elasticsearch/common/unit/TimeValue:millis:99
9	org/elasticsearch/search/internal/SearchContext:setCurrent:94
10	org/elasticsearch/search/internal/DefaultSearchContext:types:314
11	org/elasticsearch/search/internal/ShardSearchTransportRequest:types:86
12	org/elasticsearch/search/internal/ShardSearchLocalRequest:types:126
10	org/elasticsearch/index/query/QueryParseContext:setTypes:70
9	org/elasticsearch/search/internal/ShardSearchTransportRequest:scroll:141
10	org/elasticsearch/search/internal/ShardSearchLocalRequest:scroll:181
9	org/elasticsearch/search/SearchService:parseTemplate:833
10	org/elasticsearch/search/internal/ShardSearchTransportRequest:template:126
11	org/elasticsearch/search/internal/ShardSearchLocalRequest:template:166
10	org/elasticsearch/search/internal/ShardSearchTransportRequest:templateSource:131
11	org/elasticsearch/search/internal/ShardSearchLocalRequest:templateSource:171
10	org/elasticsearch/common/Strings:hasLength:172
9	org/elasticsearch/search/internal/ShardSearchTransportRequest:source:91
10	org/elasticsearch/search/internal/ShardSearchLocalRequest:source:131
9	org/elasticsearch/search/SearchService:parseSource:879
9	org/elasticsearch/search/internal/ShardSearchTransportRequest:extraSource:101
10	org/elasticsearch/search/internal/ShardSearchLocalRequest:extraSource:141
9	org/elasticsearch/search/SearchService:parseSource:879
10	org/elasticsearch/common/bytes/PagedBytesReference:length:70
10	org/elasticsearch/common/xcontent/XContentFactory:xContent:242
11	org/elasticsearch/common/xcontent/XContentFactory:xContentType:295
12	org/elasticsearch/common/bytes/PagedBytesReference:length:70
12	org/elasticsearch/common/bytes/PagedBytesReference:get:65
13	org/elasticsearch/common/util/BigArrays$ByteArrayWrapper:get:124
12	org/elasticsearch/common/bytes/PagedBytesReference:get:65
13	org/elasticsearch/common/util/BigArrays$ByteArrayWrapper:get:124
12	org/elasticsearch/common/bytes/PagedBytesReference:get:65
13	org/elasticsearch/common/util/BigArrays$ByteArrayWrapper:get:124
11	org/elasticsearch/common/xcontent/XContentFactory:xContent:140
12	org/elasticsearch/common/xcontent/XContentType$2:xContent:71
10	org/elasticsearch/common/xcontent/smile/SmileXContent:createParser:98
11	org/elasticsearch/common/bytes/PagedBytesReference:hasArray:237
11	org/elasticsearch/common/bytes/PagedBytesReference:array:252
12	org/elasticsearch/common/bytes/PagedBytesReference:hasArray:237
12	org/apache/lucene/util/BytesRef:<init>:50
13	org/apache/lucene/util/BytesRef:<init>:66
14	org/apache/lucene/util/BytesRef:<init>:60
12	org/elasticsearch/common/util/BigArrays$ByteArrayWrapper:get:141
11	org/elasticsearch/common/bytes/PagedBytesReference:arrayOffset:263
12	org/elasticsearch/common/bytes/PagedBytesReference:hasArray:237
12	org/apache/lucene/util/BytesRef:<init>:50
13	org/apache/lucene/util/BytesRef:<init>:66
14	org/apache/lucene/util/BytesRef:<init>:60
12	org/elasticsearch/common/util/BigArrays$ByteArrayWrapper:get:141
11	org/elasticsearch/common/bytes/PagedBytesReference:length:70
11	org/elasticsearch/common/xcontent/smile/SmileXContent:createParser:90
12	com/fasterxml/jackson/dataformat/smile/SmileFactory:createParser:330
13	com/fasterxml/jackson/core/JsonFactory:_createContext:1516
14	com/fasterxml/jackson/core/JsonFactory:_getBufferRecycler:1508
15	com/fasterxml/jackson/core/JsonFactory:isEnabled:557
16	com/fasterxml/jackson/core/JsonFactory$Feature:getMask:142
15	com/fasterxml/jackson/core/util/BufferRecycler:<init>:63
16	com/fasterxml/jackson/core/util/BufferRecycler:<init>:74
14	com/fasterxml/jackson/core/io/IOContext:<init>:106
13	com/fasterxml/jackson/dataformat/smile/SmileFactory:_createParser:407
14	com/fasterxml/jackson/dataformat/smile/SmileParserBootstrapper:<init>:87
14	com/fasterxml/jackson/dataformat/smile/SmileParserBootstrapper:constructParser:135
15	com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer:makeChild:307
16	com/fasterxml/jackson/core/JsonFactory$Feature:enabledIn:141
17	com/fasterxml/jackson/core/JsonFactory$Feature:getMask:142
16	com/fasterxml/jackson/core/JsonFactory$Feature:enabledIn:141
17	com/fasterxml/jackson/core/JsonFactory$Feature:getMask:142
16	com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer:<init>:272
15	com/fasterxml/jackson/dataformat/smile/SmileParser:<init>:239
16	com/fasterxml/jackson/core/base/ParserBase:<init>:290
17	com/fasterxml/jackson/core/base/ParserMinimalBase:<init>:74
18	com/fasterxml/jackson/core/JsonParser:<init>:297
17	com/fasterxml/jackson/core/io/IOContext:constructTextBuffer:137
18	com/fasterxml/jackson/core/util/TextBuffer:<init>:123
17	com/fasterxml/jackson/core/JsonParser$Feature:enabledIn:265
17	com/fasterxml/jackson/core/json/JsonReadContext:createRootContext:111
18	com/fasterxml/jackson/core/json/JsonReadContext:<init>:65
19	com/fasterxml/jackson/core/JsonStreamContext:<init>:43
16	com/fasterxml/jackson/dataformat/smile/SmileParser:_smileBufferRecycler:308
17	com/fasterxml/jackson/dataformat/smile/SmileBufferRecycler:<init>:19
15	com/fasterxml/jackson/dataformat/smile/SmileParser:handleSignature:296
16	com/fasterxml/jackson/dataformat/smile/SmileParser:_nextByteGuaranteed:407
16	com/fasterxml/jackson/dataformat/smile/SmileParser:_nextByteGuaranteed:407
16	com/fasterxml/jackson/dataformat/smile/SmileParser:_nextByteGuaranteed:407
12	org/elasticsearch/common/xcontent/smile/SmileXContentParser:<init>:33
13	org/elasticsearch/common/xcontent/json/JsonXContentParser:<init>:44
14	org/elasticsearch/common/xcontent/support/AbstractXContentParser:<init>:227
10	org/elasticsearch/common/xcontent/json/JsonXContentParser:nextToken:53
11	com/fasterxml/jackson/dataformat/smile/SmileParser:nextToken:709
12	com/fasterxml/jackson/core/JsonStreamContext:inObject:74
12	com/fasterxml/jackson/core/json/JsonReadContext:createChildObjectContext:133
13	com/fasterxml/jackson/core/json/JsonReadContext:<init>:65
14	com/fasterxml/jackson/core/JsonStreamContext:<init>:43
11	org/elasticsearch/common/xcontent/json/JsonXContentParser:convertToken:242
10	org/elasticsearch/common/xcontent/json/JsonXContentParser:nextToken:53
11	com/fasterxml/jackson/dataformat/smile/SmileParser:nextToken:709
12	com/fasterxml/jackson/core/JsonStreamContext:inObject:74
12	com/fasterxml/jackson/dataformat/smile/SmileParser:_handleFieldName:1609
13	com/fasterxml/jackson/dataformat/smile/SmileParser:_findDecodedFromSymbols:1991
14	com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer:findName:527
15	com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer:calcHash:1009
